iter	Passed	Remaining
234	11011	35845
235	11060	35805
236	11111	35773
237	11170	35764
238	11217	35717
239	11268	35683
240	11314	35633
241	11369	35611
242	11417	35568
243	11462	35513
244	11508	35463
245	11554	35413
246	11597	35355
247	11639	35295
248	11678	35224
249	11721	35164
250	11768	35119
251	11812	35061
252	11853	34997
253	11893	34931
254	11940	34883
255	11981	34822
256	12025	34766
257	12067	34705
258	12106	34637
259	12152	34586
260	12194	34527
261	12233	34460
262	12274	34396
263	12315	34334
264	12359	34280
265	12405	34232
266	12445	34167
267	12487	34106
268	12529	34049
269	12576	34003
270	12620	33949
271	12663	33892
272	12705	33834
273	12747	33776
274	12795	33733
275	12832	33661
276	12874	33603
277	12915	33543
278	12957	33485
279	13003	33438
280	13044	33378
281	13086	33318
282	13133	33274
283	13182	33235
284	13225	33180
285	13269	33127
286	13311	33069
287	13360	33029
288	13407	32984
289	13445	32917
290	13484	32853
291	13527	32798
292	13567	32738
293	13610	32683
294	13650	32623
295	13691	32564
296	13728	32494
297	13774	32449
298	13824	32412
299	13868	32360
300	13915	32315
301	13955	32254
302	13997	32199
303	14043	32151
304	14085	32097
305	14126	32037
306	14164	31973
307	14208	31923
308	14252	31873
309	14291	31810
310	14331	31750
311	14370	31688
312	14409	31626
313	14458	31587
314	14502	31537
315	14545	31484
316	14588	31431
317	14631	31379
318	14676	31330
319	14716	31272
320	14757	31214
321	14798	31159
322	14845	31116
323	14888	31064
324	14927	31002
325	14966	30942
326	15006	30885
327	15050	30834
328	15095	30787
329	15138	30735
330	15179	30680
331	15216	30615
332	15262	30570
333	15304	30518
334	15348	30467
335	15389	30413
336	15435	30367
337	15480	30320
338	15523	30268
339	15565	30216
340	15608	30164
341	15654	30118
342	15696	30066
343	15736	30009
344	15774	29949
345	15815	29893
346	15859	29844
347	15899	29789
348	15941	29735
349	15983	29684
350	16021	29623
351	16066	29577
352	16107	29522
353	16150	29473
354	16188	29412
355	16235	29369
356	16283	29329
357	16325	29276
358	16368	29226
359	16408	29170
360	16449	29117
361	16493	29068
362	16531	29010
363	16574	28958
364	16611	28899
365	16650	28842
366	16691	28789
367	16731	28733
368	16772	28681
369	16809	28622
370	16858	28582
371	16902	28534
372	16941	28478
373	16984	28428
374	17032	28387
375	17076	28339
376	17120	28292
377	17157	28233
378	17195	28175
379	17235	28120
380	17278	28071
381	17318	28018
382	17357	27961
383	17396	27906
384	17435	27851
385	17478	27803
386	17524	27758
387	17565	27706
388	17608	27657
389	17653	27612
390	17697	27564
391	17737	27511
392	17776	27455
393	17820	27409
394	17863	27360
395	17905	27310
396	17945	27257
397	17988	27209
398	18031	27160
399	18077	27116
400	18116	27061
401	18156	27008
402	18193	26951
403	18236	26903
404	18281	26858
405	18323	26807
406	18362	26754
407	18406	26707
408	18452	26662
409	18498	26619
410	18540	26569
411	18581	26519
412	18620	26465
413	18663	26417
414	18705	26368
415	18749	26320
416	18790	26270
417	18835	26225
418	18880	26179
419	18918	26126
420	18960	26076
421	19005	26031
422	19049	25984
423	19092	25937
424	19137	25891
425	19178	25842
426	19222	25795
427	19268	25751
428	19311	25703
429	19350	25650
430	19391	25600
431	19432	25550
432	19478	25506
433	19519	25456
434	19562	25408
435	19602	25357
436	19642	25306
437	19688	25262
438	19728	25210
439	19769	25160
440	19810	25111
441	19860	25072
442	19900	25021
443	19942	24973
444	19983	24923
445	20029	24879
446	20074	24835
447	20116	24786
448	20161	24741
449	20208	24698
450	20257	24659
451	20299	24611
452	20339	24559
453	20382	24512
454	20429	24470
455	20470	24420
456	20513	24373
457	20550	24319
458	20589	24268
459	20633	24221
460	20675	24173
461	20714	24121
462	20754	24071
463	20797	24025
464	20843	23981
465	20891	23940
466	20933	23892
467	20976	23845
468	21024	23803
469	21066	23756
470	21107	23707
471	21147	23656
472	21192	23611
473	21231	23561
474	21276	23515
475	21313	23463
476	21351	23410
477	21395	23365
478	21440	23320
479	21484	23274
480	21523	23224
481	21566	23176
482	21610	23132
483	21650	23081
484	21699	23041
485	21736	22988
486	21781	22944
487	21828	22901
488	21870	22854
489	21911	22806
490	21951	22756
491	21994	22709
492	22039	22665
493	22081	22618
494	22122	22569
495	22165	22522
496	22208	22476
497	22250	22429
498	22290	22379
499	22333	22333
500	22377	22288
501	22421	22242
502	22464	22196
503	22505	22148
504	22549	22103
505	22594	22058
506	22638	22013
507	22681	21967
508	22722	21918
509	22763	21870
510	22802	21820
511	22845	21774
512	22887	21727
513	22925	21676
514	22967	21629
515	23012	21585
516	23056	21539
517	23097	21492
518	23137	21443
519	23184	21401
520	23227	21354
521	23272	21310
522	23310	21260
523	23349	21210
524	23390	21163
525	23435	21118
526	23479	21073
527	23517	21023
528	23556	20973
529	23605	20932
530	23645	20884
531	23688	20838
532	23729	20790
533	23768	20741
534	23813	20697
535	23857	20652
536	23899	20605
537	23939	20557
538	23983	20512
539	24025	20466
540	24067	20419
541	24106	20370
542	24148	20323
543	24190	20277
544	24236	20233
545	24275	20185
546	24314	20136
547	24358	20091
548	24403	20047
549	24441	19997
550	24484	19952
551	24533	19911
552	24577	19866
553	24622	19822
554	24667	19778
555	24711	19733
556	24756	19689
557	24799	19643
558	24844	19599
559	24888	19555
560	24929	19508
561	24971	19461
562	25008	19411
563	25051	19366
564	25092	19319
565	25135	19273
566	25177	19227
567	25222	19183
568	25262	19135
569	25301	19087
570	25342	19040
571	25383	18993
572	25426	18948
573	25468	18901
574	25509	18854
575	25551	18809
576	25594	18763
577	25635	18716
578	25678	18671
579	25719	18624
580	25763	18579
581	25806	18534
582	25849	18489
583	25894	18445
584	25934	18397
585	25975	18351
586	26017	18305
587	26063	18262
588	26107	18217
589	26150	18172
590	26192	18126
591	26235	18081
592	26282	18038
593	26332	17997
594	26383	17958
595	26437	17920
596	26480	17875
597	26528	17833
598	26578	17792
599	26620	17746
600	26660	17699
601	26702	17653
602	26746	17609
603	26786	17561
604	26838	17522
605	26894	17486
606	26946	17446
607	26993	17404
608	27035	17357
609	27076	17311
610	27119	17265
611	27163	17221
612	27209	17177
613	27251	17132
614	27289	17083
615	27334	17039
616	27376	16993
617	27419	16948
618	27458	16900
619	27502	16856
620	27547	16812
621	27589	16766
622	27630	16720
623	27670	16673
624	27710	16626
625	27754	16581
626	27796	16536
627	27842	16492
628	27878	16443
629	27917	16395
630	27964	16353
631	28005	16306
632	28048	16262
633	28084	16212
634	28122	16164
635	28166	16120
636	28206	16073
637	28250	16029
638	28288	15981
639	28329	15935
640	28374	15891
641	28419	15847
642	28458	15800
643	28499	15754
644	28543	15710
645	28589	15666
646	28635	15623
647	28677	15578
648	28715	15530
649	28756	15484
650	28802	15441
651	28867	15407
652	28944	15380
653	29017	15351
654	29080	15317
655	29129	15275
656	29175	15231
657	29221	15188
658	29266	15143
659	29313	15101
660	29363	15059
661	29421	15022
662	29474	14981
663	29525	14940
664	29571	14896
665	29612	14850
666	29651	14803
667	29690	14756
668	29734	14711
669	29775	14665
670	29820	14621
671	29856	14573
672	29899	14527
673	29936	14479
674	29975	14432
675	30017	14387
676	30059	14341
677	30102	14296
678	30139	14248
679	30184	14204
680	30225	14158
681	30260	14109
682	30300	14063
683	30339	14016
684	30382	13971
685	30421	13924
686	30461	13878
687	30502	13832
688	30540	13785
689	30585	13741
690	30624	13694
691	30667	13649
692	30707	13603
693	30751	13558
694	30789	13512
695	30834	13467
696	30877	13422
697	30915	13375
698	30957	13330
699	30997	13284
700	31036	13238
701	31079	13193
702	31118	13146
703	31160	13101
704	31200	13055
705	31238	13008
706	31280	12963
707	31321	12917
708	31360	12871
709	31399	12825
710	31438	12778
711	31478	12732
712	31516	12686
713	31554	12639
714	31597	12594
715	31639	12549
716	31678	12503
717	31719	12458
718	31761	12413
719	31801	12367
720	31841	12321
721	31878	12274
722	31916	12227
723	31958	12183
724	32001	12138
725	32044	12094
726	32085	12048
727	32127	12003
728	32162	11956
729	32204	11911
730	32245	11866
731	32285	11820
732	32326	11775
733	32365	11729
734	32402	11682
735	32443	11637
736	32480	11590
737	32517	11544
738	32554	11497
739	32598	11453
740	32640	11408
741	32680	11363
742	32717	11316
743	32756	11270
744	32795	11225
745	32835	11180
746	32873	11133
747	32912	11088
748	32951	11042
749	32995	10998
750	33034	10952
751	33072	10906
752	33112	10861
753	33147	10814
754	33184	10768
755	33223	10722
756	33260	10676
757	33304	10632
758	33347	10588
759	33391	10544
760	33429	10498
761	33468	10453
762	33511	10409
763	33552	10364
764	33596	10320
765	33635	10275
766	33674	10229
767	33718	10185
768	33760	10141
769	33800	10096
770	33839	10050
771	33875	10004
772	33920	9961
773	33960	9916
774	34001	9871
775	34041	9826
776	34083	9782
777	34122	9736
778	34167	9693
779	34208	9648
780	34243	9602
781	34281	9556
782	34321	9511
783	34363	9467
784	34406	9423
785	34442	9377
786	34480	9332
787	34520	9287
788	34562	9243
789	34602	9198
790	34637	9152
791	34679	9107
792	34720	9063
793	34762	9019
794	34802	8974
795	34837	8928
796	34877	8883
797	34919	8839
798	34958	8794
799	35000	8750
800	35035	8704
801	35075	8659
802	35114	8614
803	35160	8571
804	35197	8526
805	35231	8480
806	35269	8434
807	35314	8391
808	35356	8347
809	35394	8302
810	35429	8256
811	35469	8212
812	35511	8168
813	35552	8123
814	35590	8078
815	35628	8033
816	35670	7989
817	35710	7945
818	35753	7901
819	35788	7855
820	35823	7810
821	35860	7765
822	35898	7720
823	35938	7676
824	35976	7631
825	36015	7586
826	36054	7542
827	36095	7498
828	36135	7453
829	36173	7409
830	36214	7364
831	36253	7320
832	36288	7275
833	36331	7231
834	36373	7187
835	36412	7143
836	36448	7098
837	36485	7053
838	36526	7009
839	36566	6965
840	36603	6920
841	36642	6875
842	36682	6831
843	36722	6787
844	36760	6743
845	36801	6699
846	36838	6654
847	36877	6610
848	36918	6566
849	36957	6521
850	36999	6478
851	37038	6433
852	37080	6390
853	37120	6346
854	37157	6301
855	37196	6257
856	37235	6213
857	37279	6169
858	37315	6125
859	37349	6080
860	37388	6036
861	37430	5992
862	37468	5948
863	37507	5903
864	37546	5859
865	37585	5815
866	37624	5771
867	37667	5728
868	37706	5684
869	37747	5640
870	37788	5596
871	37823	5552
872	37864	5508
873	37901	5464
874	37940	5420
875	37982	5376
876	38020	5332
877	38062	5288
878	38100	5244
879	38145	5201
880	38184	5157
881	38223	5113
882	38265	5070
883	38307	5026
884	38345	4982
885	38382	4938
886	38418	4894
887	38459	4850
888	38495	4806
889	38537	4763
890	38573	4718
891	38616	4675
892	38655	4631
893	38693	4587
894	38734	4544
895	38772	4500
896	38813	4456
897	38851	4412
898	38894	4369
899	38935	4326
900	38977	4282
901	39015	4238
902	39053	4195
903	39094	4151
904	39135	4108
905	39180	4065
906	39217	4021
907	39260	3977
908	39300	3934
909	39335	3890
910	39378	3847
911	39418	3803
912	39463	3760
913	39502	3716
914	39543	3673
915	39582	3629
916	39621	3586
917	39661	3542
918	39701	3499
919	39742	3455
920	39782	3412
921	39825	3369
922	39862	3325
923	39898	3281
924	39939	3238
925	39978	3194
926	40017	3151
927	40054	3107
928	40088	3063
929	40131	3020
930	40173	2977
931	40216	2934
932	40258	2890
933	40295	2847
934	40332	2803
935	40371	2760
936	40412	2717
937	40450	2673
938	40491	2630
939	40529	2587
940	40570	2543
941	40613	2500
942	40649	2457
943	40694	2414
944	40736	2370
945	40774	2327
946	40814	2284
947	40850	2240
948	40887	2197
949	40926	2154
950	40966	2110
951	41005	2067
952	41042	2024
953	41081	1980
954	41122	1937
955	41164	1894
956	41202	1851
957	41238	1807
958	41280	1764
959	41317	1721
960	41357	1678
961	41394	1635
962	41437	1592
963	41477	1548
964	41513	1505
965	41551	1462
966	41588	1419
967	41633	1376
968	41676	1333
969	41715	1290
970	41757	1247
971	41795	1203
972	41838	1160
973	41877	1117
974	41917	1074
975	41955	1031
976	41994	988
977	42034	945
978	42075	902
979	42115	859
980	42154	816
981	42192	773
982	42236	730
983	42280	687
984	42320	644
985	42355	601
986	42395	558
987	42435	515
988	42475	472
989	42513	429
990	42549	386
991	42587	343
992	42626	300
993	42664	257
994	42704	214
995	42740	171
996	42778	128
997	42819	85
998	42858	42
999	42892	0
