iter	Logloss
0	0.6597595639
1	0.6304266476
2	0.6053423673
3	0.5832933685
4	0.5644504786
5	0.54815048
6	0.5334077963
7	0.5206560256
8	0.5090602102
9	0.499168318
10	0.4905252104
11	0.4840307017
12	0.4763569237
13	0.4700800987
14	0.4649820216
15	0.4585788721
16	0.4531430887
17	0.4480047787
18	0.4433698544
19	0.4392549478
20	0.4355142229
21	0.4320480776
22	0.4288084619
23	0.4256519005
24	0.4230854803
25	0.4203564846
26	0.4174362233
27	0.4156717998
28	0.4135950619
29	0.4113543326
30	0.4090009375
31	0.4074778996
32	0.4055538824
33	0.4037339061
34	0.4023443224
35	0.401170243
36	0.3995073615
37	0.3981451037
38	0.3969317297
39	0.3960127965
40	0.3949317734
41	0.3940609146
42	0.3926503968
43	0.3913818107
44	0.3902373915
45	0.3894894052
46	0.3885959312
47	0.3873829339
48	0.3868848292
49	0.3858288397
50	0.3850615318
51	0.3846699827
52	0.3840204758
53	0.3828599829
54	0.3818977738
55	0.3810671941
56	0.3805222157
57	0.3800089464
58	0.3795454711
59	0.3786018167
60	0.3780138349
61	0.3773358317
62	0.3765368258
63	0.3759700998
64	0.3752983679
65	0.3747337827
66	0.3742799208
67	0.3737582013
68	0.3731192133
69	0.3727738505
70	0.3723273884
71	0.3718922519
72	0.371490185
73	0.3710910996
74	0.3706988646
75	0.3702529465
76	0.369935288
77	0.3692659293
78	0.3688485866
79	0.3685241973
80	0.3680640365
81	0.3677759652
82	0.3674675453
83	0.3671503805
84	0.366770859
85	0.3657796862
86	0.3653860903
87	0.3651235725
88	0.3645043836
89	0.3640928361
90	0.3636727601
91	0.3631112803
92	0.3627205765
93	0.3622936823
94	0.3617944101
95	0.3614595948
96	0.3611642532
97	0.3605884118
98	0.3600797992
99	0.3597301412
100	0.359603934
101	0.3590908172
102	0.3583767168
103	0.3579836789
104	0.3577435012
105	0.3575097408
106	0.3572798283
107	0.3568163417
108	0.3561979598
109	0.355981931
110	0.3553689761
111	0.3550519961
112	0.3546756875
113	0.3545217104
114	0.3543421029
115	0.353799117
116	0.3536105455
117	0.3534382608
118	0.3532749568
119	0.353017703
120	0.352864537
121	0.3527802726
122	0.3525543439
123	0.3523109357
124	0.3521205015
125	0.3519472514
126	0.3518011796
127	0.3516441204
128	0.3513701275
129	0.3511804667
130	0.3507646492
131	0.3504528461
132	0.3501899173
133	0.3499124607
134	0.3497748821
135	0.3497035964
136	0.3495088335
137	0.3491219479
138	0.3489835796
139	0.3488763752
140	0.3487157761
141	0.3485722781
142	0.3483990831
143	0.3482157527
144	0.3479720316
145	0.3478341858
146	0.3476404548
147	0.3473528239
148	0.3472527489
149	0.3469540072
150	0.3468287398
151	0.3466867359
152	0.3465887
153	0.3464656388
154	0.3463377543
155	0.3461851499
156	0.3460003949
157	0.3457131351
158	0.345500077
159	0.3453507343
160	0.3451736129
161	0.3450110649
162	0.3449425821
163	0.34482681
164	0.3447655346
165	0.3447140932
166	0.3445485877
167	0.3443053028
168	0.3442126463
169	0.3438722392
170	0.3437461368
171	0.343575202
172	0.3434524675
173	0.3433202242
174	0.343142879
175	0.342774348
176	0.3427362053
177	0.3425963441
178	0.342559433
179	0.3424400783
180	0.3423520273
181	0.3422950472
182	0.3420590801
183	0.3419104352
184	0.3417877571
185	0.3415628524
186	0.3415091715
187	0.3412633775
188	0.3411451225
189	0.3410088443
190	0.3408954632
191	0.3406764058
192	0.3405243701
193	0.340377715
194	0.3401726784
195	0.3400158956
196	0.339846233
197	0.3397323801
198	0.3396158186
199	0.3394994414
200	0.3393971126
201	0.3393510725
202	0.3392601928
203	0.3389898774
204	0.3389644037
205	0.3388527337
206	0.338717592
207	0.338665852
208	0.3385630545
209	0.3385071243
210	0.338446381
211	0.3384142815
212	0.3381619218
213	0.3380798755
214	0.3380055396
215	0.337971909
216	0.3378856896
217	0.3378697472
218	0.3375802624
219	0.3373646502
220	0.3373375608
221	0.3372884518
222	0.3372128804
223	0.3369870364
224	0.3368981989
225	0.336867824
226	0.3366306654
227	0.3365941775
228	0.3365710138
229	0.3364384598
230	0.3362384964
231	0.336219002
232	0.3361936881
233	0.3361569913
234	0.335846913
235	0.3357348774
236	0.3356844952
237	0.3356575918
238	0.3355693029
239	0.3354243563
240	0.3352364781
241	0.3351163291
242	0.3350149838
243	0.3349798078
244	0.3348846987
245	0.334677342
246	0.3346482919
247	0.3346202913
248	0.334589047
249	0.3344164793
250	0.3343249833
251	0.3342939828
252	0.3340812808
253	0.3340559831
254	0.334031638
255	0.3340079476
256	0.3338640874
257	0.3337287607
258	0.3337029519
259	0.3336094309
260	0.3335325715
261	0.3332320626
262	0.3330608303
263	0.3329751356
264	0.3329315869
265	0.33265834
266	0.3325523303
267	0.3324329599
268	0.3322587705
269	0.3320367378
270	0.3318601017
271	0.3317167023
272	0.3315174794
273	0.3313669227
274	0.3311780904
275	0.3311271915
276	0.3309769726
277	0.3309532036
278	0.3309244688
279	0.3307966375
280	0.3307550823
281	0.3306341271
282	0.3305318879
283	0.3305124433
284	0.3304815528
285	0.3303172523
286	0.33029387
287	0.3300637968
288	0.3299630073
289	0.3299346562
290	0.3299162706
291	0.3297513183
292	0.3297273946
293	0.3296555714
294	0.3296020807
295	0.3294342511
296	0.3293677537
297	0.3293220614
298	0.3291415527
299	0.3291226129
300	0.328970342
301	0.3289498571
302	0.3288553142
303	0.3287632739
304	0.3287444833
305	0.32872582
306	0.3287080975
307	0.3286903195
308	0.3286696112
309	0.3285522344
310	0.3284366478
311	0.3282888731
312	0.3282700467
313	0.3281192145
314	0.3280478288
315	0.3279183169
316	0.3278105783
317	0.3276905403
318	0.3275126076
319	0.3274967577
320	0.3274802998
321	0.3273347125
322	0.3273186527
323	0.3271255475
324	0.3270205897
325	0.3270038981
326	0.3269725054
327	0.3269497688
328	0.3268136543
329	0.326716275
330	0.3265919564
331	0.32657077
332	0.3264248934
333	0.3264080346
334	0.3263158203
335	0.3262546351
336	0.3261934292
337	0.3261772892
338	0.3260867996
339	0.3259208866
340	0.3259029892
341	0.3258757715
342	0.3257654736
343	0.3257498283
344	0.3257338501
345	0.3257181487
346	0.3257022427
347	0.3256141653
348	0.325598503
